,Author,Date,body,Class
0,tracey lee,2016-08-04,since i update i get the message cloud agent have stop work everytime i open my gallery to look at my photos   this be extremely annoying and unprofessional  please fix this immediately!,1.0
1,shahbaz gondal,2016-08-04,i want to know that my photo in be safe or not becoz i dont want to leak my photo and shar with sombody be it safe,
2,dominique kennedy,2016-08-04,have have to uninstal the yesterday as get cloudagent issue  have now reinstal version 12 2 and so far no error message as yet  finger crossed!,1.0
3,tajmir hossain,2016-08-04,oo,
4,ezra krisna,2016-08-04,cloud agent have stop,1.0
5,         ,2016-08-04,good,
6,raied al malke,2016-08-04,jeddah,
7,frederick hernandez,2016-08-04,like itt,
8,michael romero,2016-08-04,i can t ever recall have a problem with this and the adjoin web platform  seamless synchronization ,
9,jomar peter dadia,2016-08-04,come on devs  fix this as soon as posible  it force close too when i be used this  ,1.0
10,chad westbury,2016-08-04,cloud agent have stop working keep pop up,1.0
11,jane darjuan,2016-08-04,good,
12,marry natalie nulla,2016-08-04,this be so good download it now m pgn,
13,jeremy humphrey,2016-08-04,i m get fed up of this now since last update everytime i go in my gallery it s say cloud agent have stop,1.0
14,joshua andrew,2016-08-04,it keep on get cloudagent have stop in my samsung note 3    its really make piss off    please do fix it asap til then wil b 1 star only    thank eu   ,1.0
15,timothy james,2016-08-04,i love it so much,
16,stephanie,2016-08-04,ever since the recent update i have be get this issue  it have become intrusive and now i cannot for the life of me browse photo on my gallery  i think i be the only one  however i see other person have also experience this  edit seem like really be the source of this issue  i disabled the and gallery work great again and the error message have stopped  until release an update for this bug i believe i might keep the disabled for now ,1.0
17,richard lebelinski,2016-08-04,last update be sh te  gonna move to box instead ,
18,dr muhammad imran,2016-08-04,g,
19,peter de mamiel,2016-08-04,cause issue with gallery on note 3  wat to uninstall to fix but it wont ,1.0
20,a google user,2016-08-04,cloud agent have stop working note 4 ,1.0
21,furqan ahmad,2016-08-04,lovely,
22,abdul aziz,2016-08-04,super wast,
23,saravanakumar vk saravanan,2016-08-04,food and beverage,
24,sai balaji,2016-08-04,sai angel,
25,ram piyush,2016-08-04,  ,
26,polo jjingo,2016-08-04,best,
27,david thain,2016-08-04,preload don t want ,
28,sohail abdullah,2016-08-04,love it,
29,anne booth,2016-08-04,can anyone recommend another photo storage,
30,brian davis,2016-08-04,used to work great but last update break it,1.0
31,nico collins,2016-08-04,no complaint so far,
32,yavineachta jellybean,2016-08-04,very useful,
33,kishore sandy,2016-08-04,this be used for many thing,
34,cynthia williams,2016-08-04,i have have this for about 3 year now  love it! keep up the good service and easy to use format and i will be here for several more years!,
35,emilyn feniquito,2016-08-04,great,
36,pascualhomb tejada,2016-08-04,para record,
37,kim galvin,2016-08-04,keep get an error that say cloud agent have stop work,1.0
38,ols drv,2016-08-04,love,
39,rachel miles,2016-08-04,it allow me to keep everything in one place and i just sign in to have access to what i need,1.0
40,mahadev nila,2016-08-04,very good,
41,sonia,2016-08-04,vamo a ver comoe resulta de bueno acabo de instalarlo grax,
42,nirob md  monir shikder,2016-08-04,love it,
43,rajesh mr,2016-08-04,i like it very much  but i need more space,
44,zashnab,2016-08-04,i be just update this cause it tell me too ,1.0
45,joe fraser,2016-08-04,bug slow forced updates  great work assholes ,1.0
46,rinaldi keadilan harahap,2016-08-04,very useful i used to all my desk and phone  thank,
47,shaday rodriguez,2016-08-04,it,
48,shyfra meijering,2016-08-04,i love this and everything it provides  i have be used it to store my music schoolwork and pictures  definitely a safe platform where i don t worry about lose anything ,
49,shubham bhardwaj,2016-08-04,its very good,
50,a google user,2016-08-04,galaxy 6edge,
51,ladan soodmand,2016-08-04,unfortunately cloudagent have stop working  it s affected open my gallery as well  need to fix this as it s the cause ,1.0
52,shibata shibit,2016-08-04,awesome super easy to use,
53,lou fero,2016-08-04,since update constantly get this error  remove from system and will manually move photo and vids  need fix asap ,1.0
54,teedrvppy ___,2016-08-04,j,
55,ahmed el haddad,2016-08-04,latest update give error cloud agent have be stopped  please correct it tx,1.0
56,dhanraj biradar,2016-08-04,great can be used for personal and professional use   ,
57,gan siang,2016-08-04,what kind of stupid update be this that keep give person problem with cloudagent,1.0
58,kulwinder singh,2016-08-04,carsual from be much better,1.0
59,renny indriani,2016-08-04,great to keep all your files  i also get spacious storage ,
60,kelleigh lee,2016-08-04,come in hand when you need it to store thing,
61,leslie colon,2016-08-04,pic s,
62,a google user,2016-08-04,can t even take a picture on my camera or open a photo in a msg because of drop box recent update  horrible  have to uninstall a product that i used all the time and advertise for  just ridiculous fix the already,1.0
63,craig corner,2016-08-04,for god s sake fix this cloud agent have stop bug  so bloody annoying  not hy ,1.0
64,mthokozisi shabangu,2016-08-04,nice,
65,norma o,2016-08-04,my free 48gb of space from verizon expired  only usinh less than 2 gb but demand i upgrade to 1tb to keep used it for  99 a year!,
66,ali tabaja,2016-08-04,tabaja,
67,babatunde a  agboluaje,2016-08-04,this update be crash my gallery  i get cloud agent have stop bug report whenever i open my gallery  you guy need to fix this issue as soon as possible ,1.0
68,a google user,2016-08-04,grace a jai realise plein de bonne chose et jai pu retrouver mon telephone perdu  merci beaucoup !,
69,terry collins,2016-08-03,love it so far!,
70,andrew collins,2016-08-03,cloud agent stopped!,1.0
71,corey quick,2016-08-03,awesome   i love it ,
72,david leiva gallegos,2016-08-03,good,
73,thony bravo,2016-08-03,yohgx,
