,80516,80416,80316,80216,80116,73116,73016,72916,72816,72716,72616,72516,72416,72316,72216,72116,72016,71916,71816,71716,71616,71516,71416,71316,71216,71116,71016,70916,70816,70716,70616,70516,70416,70316,70216,70116,63016,62916,62816,62716,62616,62516,62416,62316,62216,62116,62016,61916,61816
mobile strike,456574,-1,454744,453915,-1,-1,-1,448458,447095,-1,444480,443238,-1,-1,439075,437693,436349,435174,433484,-1,-1,428900,-1,425910,424464,423122,-1,-1,418721,-1,416098,414700,413191,412421,410030,-1,-1,-1,401391,400584,-1,-1,395590,394557,393417,392514,391133,-1,389199
clash of clans,28090501,-1,28060416,28043381,-1,-1,-1,27969278,27951810,-1,27917342,27899401,-1,-1,27842333,27821360,27800486,27782151,27759755,-1,-1,27700413,-1,27661218,27641078,27620462,-1,-1,27551627,-1,27514687,27495583,27475118,27464594,27436755,-1,-1,-1,27351272,27336369,-1,-1,27263333,27243483,27222456,27206391,27180365,-1,27147107
game of war,1266822,-1,1265311,1264428,-1,-1,-1,1260423,1259452,-1,1257806,1257097,-1,-1,1254409,1253433,1252516,1251769,1250184,-1,-1,1247468,-1,1245633,1244533,1243424,-1,-1,1239653,-1,1235672,1228724,1227817,1227581,1226346,-1,-1,-1,1223111,1222474,-1,-1,1219742,1219070,1218324,1217604,1216839,-1,1215700
clash royale,5393494,-1,5375836,5367308,-1,-1,-1,5322920,5310397,-1,5288724,5277746,-1,-1,5242357,5229887,5217258,5207155,5191878,-1,-1,5150801,-1,5115800,5095877,5074575,-1,-1,4989898,-1,4939447,4905194,4827632,4740544,4719190,-1,-1,-1,4664908,4657503,-1,-1,4612583,4600816,4588199,4575528,4562377,-1,4543359
candy crush saga,15504748,-1,15490429,15484804,-1,-1,-1,15426213,15402517,-1,15374408,15365895,-1,-1,15338064,15328652,15320347,15313429,15303131,-1,-1,15276772,-1,15261604,15251099,15243552,-1,-1,15212030,-1,15196397,15187624,15178328,15175929,15163650,-1,-1,-1,15125825,15118941,-1,-1,15090992,15083087,15074622,15066622,15057726,-1,15044180
summoners war,1630568,-1,1629575,1629137,-1,-1,-1,1626282,1625532,-1,1622388,1621613,-1,-1,1617925,1612136,1611199,1610541,1609721,-1,-1,1607197,-1,1604976,1602218,1601437,-1,-1,1598266,-1,1597041,1596166,1595178,1594901,1593473,-1,-1,-1,1587517,1586791,-1,-1,1583937,1583273,1582500,1581743,1580910,-1,1579713
slotomania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,879084,878453,878175,877288,-1,-1,-1,874830,874395,-1,-1,871772,871035,870233,869514,868857,-1,867911
puzzle & dragons,110711,-1,110638,110609,-1,-1,-1,110394,110339,-1,110254,110205,-1,-1,109991,109642,109580,109555,109524,-1,-1,109435,-1,109346,109301,109259,-1,-1,109127,-1,109069,109033,108995,108984,108932,-1,-1,-1,108818,108792,-1,-1,108664,108618,108296,108245,108206,-1,108160
star wars,909659,-1,905564,903545,-1,-1,-1,890438,887598,-1,885678,884998,-1,-1,881638,880569,879474,878465,877057,-1,-1,871708,-1,866940,865410,864587,-1,-1,861131,-1,858823,857399,855978,855521,853386,-1,-1,-1,848619,847839,-1,-1,844324,843589,842901,842184,841469,-1,840242
candy crush soda saga,4523408,-1,4520195,4520217,-1,-1,-1,4510063,4505581,-1,4501917,4500437,-1,-1,4493511,4491530,4489358,4487549,4485347,-1,-1,4479557,-1,4475794,4473719,4471485,-1,-1,4465215,-1,4461159,4459008,4457000,4456031,4452898,-1,-1,-1,4444004,4442263,-1,-1,4434933,4433207,4431612,4429671,4427628,-1,4424073
marvel contest of champions,1579066,-1,1577151,1576391,-1,-1,-1,1571313,1570020,-1,1566495,1565611,-1,-1,1561609,1560234,1558686,1557505,1555962,-1,-1,1550731,-1,1544531,1542789,1540922,-1,-1,1536391,-1,1534190,1532640,1531117,1530735,1528583,-1,-1,-1,1522294,1521052,-1,-1,1515125,1513180,1510219,1507362,1503958,-1,1496670
