,080516,080416,080316,080216,080116,073116,073016,072916,072816,072716,072616,072516,072416,072316,072216,072116,072016,071916,071816,071716,071616,071516,071416,071316,071216,071116,071016,070916,070816,070716,070616,070516,070416,070316,070216,070116,063016,062916,062816,062716,062616,062516,062416,062316,062216,062116,062016,061916,061816
minecraft,1528416,-1,-1,1525483,-1,-1,-1,1519147,1517405,-1,-1,-1,-1,-1,1509980,-1,-1,1504742,1503380,-1,-1,1499526,-1,-1,1495902,1494563,-1,-1,1488401,-1,1486706,1485483,1484204,1483680,-1,-1,-1,1477098,-1,-1,-1,-1,1467248,1465736,1464102,1462714,1460783,-1,1457153
minecraft,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bloons td 5,142850,-1,-1,142665,-1,-1,-1,142212,142134,-1,-1,-1,-1,-1,141863,-1,-1,141716,141664,-1,-1,141515,-1,-1,141344,141281,-1,-1,141113,-1,140996,140955,140896,140869,-1,-1,-1,140579,-1,-1,-1,-1,140267,140226,140190,140161,140129,-1,140074
geometry dash,463853,-1,-1,462847,-1,-1,-1,461222,460816,-1,-1,-1,-1,-1,458566,-1,-1,457624,457167,-1,-1,456074,-1,-1,454997,454619,-1,-1,453328,-1,452729,452419,452078,451929,-1,-1,-1,450097,-1,-1,-1,-1,448342,448022,447715,447414,447029,-1,446547
terraria.,168764,-1,-1,168361,-1,-1,-1,167802,167598,-1,-1,-1,-1,-1,166517,-1,-1,166228,166122,-1,-1,165793,-1,-1,165522,165404,-1,-1,165013,-1,164817,164728,164624,164559,-1,-1,-1,164004,-1,-1,-1,-1,163353,163230,163124,163015,162843,-1,162611
lifeline,69526,-1,-1,69480,-1,-1,-1,69446,69424,-1,-1,-1,-1,-1,69337,-1,-1,69281,69268,-1,-1,69218,-1,-1,2996,2983,-1,-1,2954,-1,2907,2877,2846,2841,-1,-1,-1,68849,-1,-1,-1,-1,68774,68758,68747,68729,68704,-1,68668
the game of life,283,-1,-1,273,-1,-1,-1,237,212,-1,-1,-1,-1,-1,56,-1,-1,30,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35353,35350,35347,35347,-1,-1,-1,35319,-1,-1,-1,-1,35290,35286,35286,35283,35277,-1,35275
true skate,77618,-1,-1,77540,-1,-1,-1,77430,77382,-1,-1,-1,-1,-1,77227,-1,-1,77160,77130,-1,-1,77077,-1,-1,77008,76980,-1,-1,76884,-1,76840,76812,76763,76736,-1,-1,-1,76507,-1,-1,-1,-1,76406,76389,76368,76361,76349,-1,76318
scribblenauts remix,87566,-1,-1,87490,-1,-1,-1,87386,87358,-1,-1,-1,-1,-1,87151,-1,-1,87039,86997,-1,-1,86893,-1,-1,86768,86725,-1,-1,86578,-1,86477,86425,86378,86362,-1,-1,-1,86152,-1,-1,-1,-1,85981,85950,85922,85897,85856,-1,85799
five nights at freddy's,81076,-1,-1,80964,-1,-1,-1,80769,80715,-1,-1,-1,-1,-1,80456,-1,-1,80332,80273,-1,-1,80131,-1,-1,79996,79954,-1,-1,79782,-1,79724,79679,79639,79631,-1,-1,-1,79399,-1,-1,-1,-1,79171,79127,79105,79063,79034,-1,78992
skater,1084,-1,-1,1061,-1,-1,-1,1030,1016,-1,-1,-1,-1,-1,978,-1,-1,957,954,-1,-1,934,-1,-1,920,912,-1,-1,890,-1,874,865,864,862,-1,-1,-1,829,-1,-1,-1,-1,795,788,783,772,761,-1,752
five nights at freddy's 2,64746,-1,-1,64697,-1,-1,-1,64602,64581,-1,-1,-1,-1,-1,64421,-1,-1,64365,64353,-1,-1,64282,-1,-1,64224,64203,-1,-1,64061,-1,64064,64043,64022,64011,-1,-1,-1,63881,-1,-1,-1,-1,63768,63753,63741,63720,63703,-1,63652
exploding kittens,9935,-1,-1,9865,-1,-1,-1,9711,9672,-1,-1,-1,-1,-1,9520,-1,-1,9447,9415,-1,-1,9312,-1,-1,9213,9185,-1,-1,9069,-1,8973,8930,8888,8882,-1,-1,-1,8673,-1,-1,-1,-1,8493,8453,8429,8396,8349,-1,8292
the room three,41292,-1,-1,41091,-1,-1,-1,40792,40722,-1,-1,-1,-1,-1,40305,-1,-1,40131,40060,-1,-1,39829,-1,-1,39616,39548,-1,-1,39339,-1,39210,39129,39050,39023,-1,-1,-1,38671,-1,-1,-1,-1,38313,38259,38201,38126,38071,-1,37946
