every time there s an update it doesn t work.,b
when i click to cast my screen from any of my device and select the tv it connect and then immediately disconnects. i ve download the latest version and tv firmware updates.,b
can only change volume when screen be on.,b
in the past i used to play video directly from youtube and it work perfectly. now this be not possible anymore and here be this which do nothing else but block every 2 minutes. besides that it be not possible to lock screen or make call while play because this bright new cast the screen not a stream as the old way of cast did.,b
get chromecast when it first come out and every update have make it less buggy way easier and faster and now it work perfectly every time. awesome piece of tech,b
i update my and now the playback notification control be gone. now i can t pause play or fast forwardback an online video. fix this!!!!,b
while stream my audio will cut in and out or just completely go out and if the audio return the av ratio be off by many second,b
it just stop work today. i factory reset everything and uninstal and reinstal the . it be just not be recognized. after the first step of the install,b
the quit a lot. not force quit just stop casting. first it ll be invisible on my phone but keep play on the tv. then it ll quit on the tv. so annoying to have to keep pull it up again and again. wouldn t recommend,b
on my sony xperium z3+,b
it over heat and no longer will cast anything and the chromecast now isnt even recognise by my phone. it say it cannot connect to the internet. and something inside of it be loose or broken. probably from it over heating cuz its cheaply made. i barely used the stupid thing and less then 6 month later its garbage. i want my money back. i feel completely rip off. id suggest buy a medium box instead of this peice of. google have no customer service. i have send message and no response back. bs!,b
you should be able to simply connect direct from your phone without internet or wifi,b
constantly wifi bull,b
resolution quality change \u0026amp; bug audio stick add audio equalizer,b
chromecast be buggy since a recent update it now show cast mp4 movie at the wrong aspect ratio. this cause everything to look squashed horizontally e.g. person look thinner than they be . this bug hen regardless of whichever i m casting from bubbleupnp or plex for example. please fix this!,b
latest update and chromecast audio be now a sad mess. randomly disconnect from the device leave you unable to control music without manually reset the . music doesn t load and start playback half the time. google play without cast work fine so this be entirely in the cast . do you guy beta test anything you release? device be currently a waste of 35 bucks. review change when and device actually work again.,b
didnt work will try again,b
still no search functionality for canada.,b
why can t i cast the screen anymore,b
can t say,b
samsung galaxy tab not optimize yet inwish i can use it,b
i have the first gen chromecast and store it one i purchase a mini pc android device for my tv. the mini pc stop be able to use the hulu . i hooked my chromecast up and download the to my first gen tab 3 and it doesn t work. also try it on my old note 2 my old grand prime and nothing works. i also do a factory reset before try to cast with each device.,b
wont let me cast,b
doesn t play all video in chrome window,b
now i can t even cast youtube. used to be flawless about one year ago and never cause an issue. now a simple connection can t be make get stuck all the time.,b
any nexus device will not connect,b
doesn t work,b
when i try to screencast it barely work and that s if it even works this need an update asap,b
i use chromecast almost everyday. the last update really help smooth out some of the bug,b
intermittent lock up and freeze require reboot every other time i use it. when it work it s great.,b
haven t have any problem and be used it for over a year. note 4,b
have issue keep it connect and casting,b
after eight hour of just get the message device miss i give up. obviously a complete waste of money.,b
my chromecast win t cast even though it say ready to cast,b
for serval months it s working good.after that i having connection problem it s not identify my wifi i try to connect it many times but the problem still the same 😥,b
but now i may have to kill her my chromecast that be . used to work like a beaut now hardly ever work at all. have triple check every setting on my wi fi to ensure all be good on that end and it still win t connect properly. think she s about to go in the garbage,b
i have the newest version of the chromecast and i use youtube a lot but i m have trouble cast to my tv i gotta press the cast button 3x just forth to work i have restore the chromecast still do the same thing delete the still do the same thing i use my original chromecast nothing wrong just my new chromecast have bug please fix it,b
since 1 2 week there be no more sound when i cast the whole screen? it do work before! please fix it asap.,b
win t connect my phone to my chromecast device even though it s on the same network \u0026amp; other device have no problem connecting.,b
do this work of the internet on phone or do i need extra internet for chromcast,b
why be google cast oftenly disconnect if used the screen cast option and my tablet suddenly restart after the disconnection? please fix this immediately. thank you.,b
great functionality but limit by google to require internet. as a portable device to use anywhere it would have be great e.g. in hotel at relative house without internet in remote location etc,b
it simply doesn t work. i don t know why it cannot connect with the chromecast device. the only feature that device have be to make me angry.,b
be very unorganized need to have a tv menu for content off of mobile device like le tv. glitch when try to cast off some s the show or movie work great in but will not cast. need more free content why try to charge for so much again compare to your competitor le this be a sub par device!,b
it barely even work,b
for some mysterious reason the device i want doesn t show up and then i have to uninstall chromecast or netflix or both over and over until finally i get the device name i want to use. very frustrating.,b
wont let me mirror my tablet,b
we keep try to watch video then we get knock off very frustrating i have a top of the line router with 100m service there should be no excuse for that to constantly hen.,b
it s not let me do anything anymore.,b
