App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,body,Translated Subject,Translated Body
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSGt3VHlzajJWNHhJTW9YVm04MjB1RFJPMXNERFF1X01xdEdsR2E1UlpId3Z1TW5lX3FqVFM5TWg4SGM2bUk4QTNqcTlhREZJcFBoaU80N2c,English,,3,2016-08-09,Taylor Hamilton,,wish you can disable wallpaper or use one you want,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRklZdmJqRjJUblRkYmpLWXRCNllVanloVi1IR3lXUHZRcHZwakhKOXFCUUJBZXBHcFIxQUY2dnl0bnM1RXhvY1ZSTG1XdXllX0dxOV95RFE,English,,5,2016-08-09,Nao Vazquez,Best invention in a long time,make any tv into a smart tv. they should have this in every home. love it needless to say laugh out loud,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRngwWk9nRTJqbm54dk9KN0RTcDRxMFZ5Y09FVWU1bDROWUIzT0gyY0tGb3dLU1RVOXlMcE0xYnRBYjVrU3RiWm9zVHBIQ2Z2cFFHV0haQXc,English,,5,2016-08-09,Mehdi Pooeid,Ye...,ok,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSGZhVUoyU2gzR2o4elROR0pCWS1oYWZpU1gyNkhZMFpCX2Z4NXdPRDUydjlUZ1J5Y0JyRG1qd0ptZ1RjemRtUTFkR0xNT0djWkVuVHR4M2c,English,,2,2016-08-09,Elizabeth Shafer,,every time there s an update it doesn t work.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR2tVdllpUG1CaXNIeVBtVUdDemN3TzRlWldWRTI2Y0RJZEpMMlA0WGhFbFpjbzlnbHZ3XzFSb2RJS2dDWFpMVTREemY2dmp2VlhHRnoxcUE,English,,2,2016-08-09,Jeff Van Boxtel,Doesnt work on Sony XBR-43X800D Bravia TV,when i click to cast my screen from any of my device and select the tv it connect and then immediately disconnects. i ve download the latest version and tv firmware updates.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRnE0ckhUVjZ4YTU2MGpLUlVva1BwbHpfSF9rX3NNM2pPNTdHbTJNZXR1S1c0VWlrQTFILWoxNzNIdTNtNmtNX21mb1NNWjB4MXk1bno3bUE,English,,4,2016-08-09,Bob Carlson,,can only change volume when screen be on.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR3dHZUJKQmU3ZEZmQklsLUpQaXUwZzFNUkcyOGVjQlNBRG1xbllnY3VkZmQtcjFlQ1RDVzVac2lBUng2UEtDLVFfQ3MzQm1iN0I0LTFJSkE,English,,1,2016-08-09,Tiberiu Pfiszter,If it is new then it must ... not work,in the past i used to play video directly from youtube and it work perfectly. now this be not possible anymore and here be this which do nothing else but block every 2 minutes. besides that it be not possible to lock screen or make call while play because this bright new cast the screen not a stream as the old way of cast did.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRTZNejNQNHh6elhlbXFRWktjam50X0t6YjFBRWxWWDRhYW1BV2tsMTRBWHRTcWF4NlJYMnJ3clFZNnZVQ3JWMEJoOFFPUFV2dFNESXJCRVE,English,,5,2016-08-09,Charles Manning,Chromecast,excellent,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRklxRHdnUkhGMlJMVjd3OVZpZzR0SUEzUWdvQlViRG9pQ20tdGF5aFVkbDJaMFhqdVliTHJYNG1iU3BrR3I4MXZYWFhvUXhFN0dSQTY5NEE,English,,1,2016-08-09,michael levi,Google cast for Google apps,good job ruin great,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSFBoSlRmMkNnVmxKd1RSNWpnTW53dldPMU1iQjkyV3ktblNGRENBOE1ab0diYVVCVEtidEc3b2o5a0c5WlU4S3RHcGZxbkY2Z1pDbDhmR2c,English,,5,2016-08-09,Jessica Reynolds,Great,get chromecast when it first come out and every update have make it less buggy way easier and faster and now it work perfectly every time. awesome piece of tech,,
