,Author,Date,body,Class
0,taylor hamilton,2016-08-09,wish you can disable wallpaper or use one you want,2.0
1,nao vazquez,2016-08-09,make any tv into a smart tv  they should have this in every home  love it needless to say laugh out loud,
2,mehdi pooeid,2016-08-09,ok,
3,elizabeth shafer,2016-08-09,every time there s an update it doesn t work ,1.0
4,jeff van boxtel,2016-08-09,when i click to cast my screen from any of my device and select the tv it connect and then immediately disconnects  i ve download the latest version and tv firmware updates ,1.0
5,bob carlson,2016-08-09,can only change volume when screen be on ,1.0
6,tiberiu pfiszter,2016-08-09,in the past i used to play video directly from youtube and it work perfectly  now this be not possible anymore and here be this which do nothing else but block every 2 minutes  besides that it be not possible to lock screen or make call while play because this bright new cast the screen not a stream as the old way of cast did ,1.0
7,charles manning,2016-08-09,excellent,
8,michael levi,2016-08-09,good job ruin great,
9,jessica reynolds,2016-08-09,get chromecast when it first come out and every update have make it less buggy way easier and faster and now it work perfectly every time  awesome piece of tech,1.0
10,elvis chavez,2016-08-09,no me sale la opci  n de cast screen arreglen eso,
11,jim smith,2016-08-09,i update my and now the playback notification control be gone  now i can t pause play or fast forwardback an online video  fix this!!!!,1.0
12,knucklehead,2016-08-09,yes it really work good everything i need it do,
13,corey james,2016-08-09,photo movie youtube music   all make very easy to cast to your tv ,
14,pankaj gajjar,2016-08-09,i can t find the cast screen option,
15,gabe ulrickson,2016-08-09,screen cast entirely stop work on my phone after it update to android marsh 6 0 1 from android laugh out loudli 5 0 1,
16,,2016-08-09,i love this product  it s unfortunate that it can t work on hotel wifi ,
17,cyrus ramsey,2016-08-09,just purchase a chromecast 2 install the so far work perfectly on a root ulefone power run android 6  be easy to setup and be easy to stream stan netflix etc ,
18,william dixon,2016-08-08,just baught today and i m in love! easy to setup  u0026amp  work s like a charm  i lovetechnology!!!,
19,miguel galvan,2016-08-08,while stream my audio will cut in and out or just completely go out and if the audio return the av ratio be off by many second,1.0
20,,2016-08-08,the best!!,
21,lavon duthie,2016-08-08,it just stop work today  i factory reset everything and uninstal and reinstal the   it be just not be recognized  after the first step of the install,1.0
