,tweet,Date,Class
0,the google cast be give me option to setup my neighbor chromecast interesting attack vector ,2016-06-11,2.0
1,have you double checked to see if 8track be a google cast ready ?  ,2016-06-11,
2,we suggest try to control content via the google cast when this hens ,2016-06-11,
3,videox video and tv cast for google chromecast,2016-06-12,
4,batman the telltale series screenshot and initial cast reveal the,2016-06-12,
5,get the now watch hamilton cast s thrilling to,2016-06-13,
6,it look like cinemabox be not a cast ready,2016-06-13,
7,using google cast  flixster video icon takes me to flixster,2016-06-13,
8,secret on google fiber tvs? how to use the install google extension  google cast   go to any website and click on the extension,2016-06-14,
9,google unveils springboard and redesigned google sites in new early adopter program  venturebeat,2016-06-14,
10,feature request new  for audio receive  use old phone w speakers,2016-06-14,2.0
11,have you try control content via the google cast instead after you initiate a cast session?,2016-06-14,
12,hold on,2016-06-14,
13,google cast for free download be there a way to chromecast video from vimeo?,2016-06-15,
14,just release cast controller,2016-06-15,
15,be you try to set up your chromecast for the first time? have you try used the google cast on a mobile device?,2016-06-15,
16,missy  ,2016-06-16,
17,you can use our power cast for cast your content,2016-06-16,
18,what s wrong with cast through chromecast,2016-06-16,
19,hello its me share them with the cast and crew,2016-06-16,
20,a more realistic dream connect my android to my google cast to control a session launch on my desktop like can ,2016-06-17,
21,piss off my google chrome cast isn t functioning for my netflix so i have to sit with this macbook over heating on my lap,2016-06-18,1.0
22,how to set up chromecast with google cast,2016-06-18,
23,how to set up chromecast with google cast,2016-06-18,
24,there be an option to cast android screen on google cast used which we can cast all jio content to our tv,2016-06-18,
25,buy a google cast tv? better have your smartphone handy go to,2016-06-18,
26,in order to cast from my laptop,2016-06-18,
27,some usb cable will be compatible but with the google cast specifically,2016-06-19,
28,what s problem in chromecast last editionalway didn t ear in device by google cast ??,2016-06-19,
29,to all the cast and crew of ltn s addams family i will never forget you ,2016-06-20,
30,thank fot update your because netflix now completely stop work with google chrom cast bad developer,2016-06-20,
31,you should be able to pause content via the google cast under the device tab while you be casting ,2016-06-20,
32,to clarify,2016-06-20,
33,ah,2016-06-20,
34,league cast to listen to favourite rl podcast n rl internet radio in 1 place,2016-06-20,
35,google cast for free download vlc 3 0 nightly touch base with kind of working chromecast support,2016-06-21,
36,google cast by google,2016-06-21,
37,i hate the  with google chrome cast because if i go away for a little bit,2016-06-21,
38,playstation vue will launch for android phone and tablet next week with cast,2016-06-21,
39,do you have the google cast ?,2016-06-22,
40,when do this issue begin? be your google cast up to date? have you reboot your router and chromecast?,2016-06-22,
41,have you try pause content via the google cast under your device tab when this hens?,2016-06-22,
42,i cleared stage 100 1!want to play the sailor moon puzzle game with me? io android,2016-06-22,
43,there s a chromecast pin on my tv screen and picture be show up,2016-06-22,1.0
44,you need to have a google chrome for,2016-06-23,
45,google cast 1 16 1403,2016-06-23,
46,support deze ook google cast ?,2016-06-23,
47,in my google cast there no search box like the one in photo its very difficult to find an i use iphone,2016-06-23,
48,open google cast   select your chromecast device   setting   select your wifi network  we hope this helps ,2016-06-23,
49,when will you all add google cast capability to the,2016-06-23,
50,google chrome cast thru the cbs work great! all 4 camera plus quad view!,2016-06-23,
51,google chrome cast thru the cbs work great! all 4 camera plus quad view!,2016-06-23,
52,glee cast feat  gwyneth paltrow  kiss   streaming on download android,2016-06-24,
53,finally  guide on tablet,2016-06-24,
54,take 2  good news go90 now has google cast enabled  bad news sports content,2016-06-24,
55,take 2  good news go90 now has google cast enabled  bad news sports content,2016-06-24,
56,free  gives you 3d   ! le  android,2016-06-24,
57,google cast be now available on andronexus store,2016-06-25,
58,update google cast 1 16 7 on nexus 5   detail,2016-06-25,
