,Author,Date,body
0,alexandria garel,2016-08-09,awesome
1,nafreen kaur,2016-08-09,its a great game but it s still in its initial stage so it s super buggy!
2,crazyrobloxian,2016-08-09,i love this game do much i cannot stop playing  i love all the graphics  i wish it have as much drama as britney spears game 
3,illest red,2016-08-09,love it but hate how i run out of energy so quick
4,xxlovepie xxlovefood,2016-08-09,sooo hy find my account on google play and all my datum be save the thing that annoy me be the energy take slow  if i want to watch a video for energy it say no video it say that for 3 whole days  i just update it and it s take forever to load what s hening!!! please reply
5,tanya wragg,2016-08-09,great game but some time cant press on anything
6,jaimee douglas,2016-08-09,its a good game its just bore
7,mimi morales,2016-08-09,i just start but so far its fun im loving it!!!!
8,alexa staple,2016-08-09,the newer version have improve incredibly over the last however i be experience a lot of glitch such as the wrong character load into event and the try to start two event in the same place  it s all very confusing
9,perry quan,2016-08-09,love it can t stop play it really really addictive
10,zoe carson,2016-08-09,its not what it use to be  its constantly crash  u0026amp  be run slow  in the begin it be so smooth! just re dload it as i haven t play in a while wow! its go down hill!!!
11,niesha walker,2016-08-09,it keep crashng please fix this
12,,2016-08-09,this game be addective
13,sj_got_swag samiaaljamal,2016-08-09,addictive game so far cant get enough from it laugh out loud
14,,2016-08-09,it cool
15,savannah robinson,2016-08-09,it let you do whatever you want to do at the most of the time
16,malak rateb,2016-08-09,loved it awesome game           
17,lea nakhoul,2016-08-09,sooooo cute
18,nat  lia cardoso,2016-08-09,amooooo
19,arlmel maclyndon lequit onde,2016-08-09,it s an amazing game and it s a blast to play it because u can achieve what u want
20,skye hunter,2016-08-09,i cant collect my gift boxes and i dont have the lil giftbox icon in the bottom left corner im getting very frustrated as i have put a lot of money into this game             
21,amber stamey,2016-08-09,one of my favs
22,benedikta ariningsih,2016-08-09,addictive
23,aeen jimin,2016-08-09,i lose my account and i turn to someone else  im not anner   it s jessica  how to find it back ?!
24,betty gaona,2016-08-09,i really love this game but when i go to the airport and try to go somewhere to finish my goals i push where i wanna go and the screen just freeze when the little plain comes out and just waste a lot of my money because it is so expensive it s literally  500  and if i try to get out of the game and put it back it does the same thing all over again so fix it  now but there is still something else the golden choker that i love so much is gone that was replaced by a necklace out of nowhere    
