"App","Store","App ID","Review ID","Country","Version","Rating","Date","Author","Subject","body"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPSGZmazh0M3NwWHFNRFBDMWVmX0RBUzRnTk11Q0xVQVM4T3BYd0xIN1lwV1ZZeUNPV2ROdXBDWjJubC1pa01icS1QVDJoUVhGcDJzazlFRmE4","English",,5,2016-08-04,"Joseph kirui","Best","faster and efficiency"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPR3pUZnAtVUNReUhVbklJdkpPa1ZCaU9QWmt2cS1Ja1Y1NmhGZUt0VW1PTVZ3OEptVkJaanNleWFLSVQ0cGlRdmxTRXJPQ1A3NHY2RXA3dFRJ","English",,1,2016-08-04,"Hery Darsono","What a stupid apps","i want to sign in but can not do it s ask me security check again and over again even i have choosen the correct picture. admin please respond to this issue"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPRVdWZGo2N2hIMHYzc0tfSVlTOW1hajFCc0VCeFRKU3ZSQm16TWNVVTdsVEZwaGc1VWxvTzVnSFdVOWJWejNpMkVEUDE4NTBneDlPTXpJMGpn","English",,4,2016-08-04,"adero barasa","Faster in conections","it have enable me to get in touch with many professional"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPSG5kV0kxcnloVW04UkpxMHc3Ynh1VXk5MF9uc0NkZjM1d1R1MURqcHVXMFBscHBJbm1HV2k0UWJxdFBZa0RVSU9GMXRfd3ZQcFBOaERIbHk0","English",,5,2016-08-04,"meena gurung",,"i love this"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPRTF6MnVqazB5ekhRSzlwa0Q1TFNKUFI3TXZZWGswYlI2cUZ0TzZoWnhIVGNRWWFOU0xUdkRuZVZOZWxYY2ZodUs0emoxUUlMa2F6SDE0ejlR","English",,5,2016-08-04,"nadir jahan","NADIR","great"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPRTlzNkYxMkdFYTVJNzd0bWs0Y1lwQ0JXNHhIZ2lZeU94VTZhOGsxNjBYRC1TSldwdElWY0xvb0hkdXRMM1B6aVV2MUNUSnBJNDY5UF9qMk9B","English",,4,2016-08-04,"Lamar Jackson","So useful","a great tool to reach out to future employee or employers. great for networking and job searching."
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPSC1ZRUhmVXg2N2gwRkg0WEw1NVZ0a3Fmc3lsTnIzQXcxME1XSDZFeG5EZnJOd2N1Y09zSFdIV1RnMldVbC1oVXBWZ001bk9yVVlFR080QTE4","English",,5,2016-08-04,"SATYAJIT JOARDER","Nice app","good"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPR05Bb1cxVzJJUjhNcFpVZjlaYkRuc2tNNGF1WWhtZWRPZWZ0UFUyTi0zMWNXRGZjdzBXRDd4LWNKdEtsTzRTdEs5NXRRazVBZmdwN2UyU0c4","English",,5,2016-08-04,"Mosaab Akl","Mosaab","liked it"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPR0I3TUhLaFdhLVMxUU1CV0d0NHRSVU1VcFJtdlVyci1DVktheVY2WGFxblV1ckJjbFdhLVd5NTN4amVNRkFlTHh6STA0RFR1TjctaVB4MHg4","English",,5,2016-08-04,"Mugalikar Pooja","Nice","good"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPRXNVYXhNYVRjYWIyOHppc0FrTXhPTUpuSnFCTGRXVFcyZFdlQjhxT3VSRTR5VGk5MTJKTExjbFJ4dWdsR2Y1aUZkbDhYWEE5dmtmVkFFcC1F","English",,2,2016-08-04,"Tennyson Khatala","Mr Khatala","accountant"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPRlFFX0UtdXJaWm1sTUlaaWRDM1dJbGtJM3ZpbTNlb0VMaFRPa0dmSXFWSU02TEtsQm56YmZwemtmdVFjWXI0ODlJQUgzSVpOQmdiX3A0bFpz","English",,1,2016-08-04,"T Crews","Broken","recently send out a notification to all my connection tell them to congratulate me on a job i wasn t lie for. this didn t look good from my manager point of view. another time i have several random connection for person i never go request to."
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPRXhmTWdNOTdEZzVJcEpIVGViUERYSnFHc0dPWWFZdVBXRmxPcVgzcFZFMUxhbTByR25zdEtEMlpGTi15azJTRXlST3Zfb0w4UHJTemJ3czhv","English",,2,2016-08-04,"Chandu Kumar","Good","love it"
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPSGRGZ3NzX1hyRXNVRmpvQVRXb09OOWFqc3NSNVQxWVNnYXFpN0JPUXhZeGdTSmdGMVdMOE1heHd3aDkybFZiQ1RSWUhDdFpTUG5WRUt5VjNv","English",,5,2016-08-04,"Kelechi Oketa","PROFESSIONAL SOCIAL NETWORK","this be the best professional network link you with person of like minds. the advert be superb i so much love it."
"LinkedIn","Google Play","com.linkedin.android","Z3A6QU9xcFRPRTRhVTJCekdSeldZeGVtNmRYZUl6X1ZjUy04MVNROGx1LXljVzZBdWI2dEFXeEREcjgyeF9tRTBBOGs4dDZBb0ZMMkJRNUxUQW0zdVVfdGlJ","English",,1,2016-08-04,"Paul Trebilcox-Ruiz","Share button","seriously the share button in the action bar for article should bring up a chooser not just immediately try to share on . add a better design pattern since copy link and mail in the overflow menu be an antipattern of terrible. every time i want to grab a link i have to deal with that thing even if the article isn t host on \u0026amp;gt;\u0026amp;gt;"
