,Author,Date,body
0,joseph kirui,2016-08-04,faster and efficiency
1,hery darsono,2016-08-04,i want to sign in but can not do it s ask me security check again and over again even i have choosen the correct picture  admin please respond to this issue
2,adero barasa,2016-08-04,it have enable me to get in touch with many professional
3,meena gurung,2016-08-04,i love this
4,nadir jahan,2016-08-04,great
5,lamar jackson,2016-08-04,a great tool to reach out to future employee or employers  great for networking and job searching 
6,satyajit joarder,2016-08-04,good
7,mosaab akl,2016-08-04,liked it
8,mugalikar pooja,2016-08-04,good
9,tennyson khatala,2016-08-04,accountant
10,t crews,2016-08-04,recently send out a notification to all my connection tell them to congratulate me on a job i wasn t lie for  this didn t look good from my manager point of view  another time i have several random connection for person i never go request to 
11,chandu kumar,2016-08-04,love it
12,kelechi oketa,2016-08-04,this be the best professional network link you with person of like minds  the advert be superb i so much love it 
13,paul trebilcox ruiz,2016-08-04,seriously the share button in the action bar for article should bring up a chooser not just immediately try to share on   add a better design pattern since copy link and mail in the overflow menu be an antipattern of terrible  every time i want to grab a link i have to deal with that thing even if the article isn t host on  u0026amp gt  u0026amp gt 
14,james bennett,2016-08-04,retire old man
15,shahid khan,2016-08-04,maintenance
16,angela nixon,2016-08-04,work great!
17,balaji rajagopal,2016-08-04,mas
18,apura rahane,2016-08-04,grt
19,amani gad,2016-08-04,useful and professional
20,ted varani,2016-08-04,this stop work a few day ago now it crash as soon as i open it unusable 
21,walter dsouza,2016-08-04,to find the right job
22,gilda penna,2016-08-04,update device to do business and socialize
23,praveen srivastava,2016-08-04,poor feedback
24,martin garcia,2016-08-04,great
25,benjamin williamson,2016-08-04,its eazy to us and helpful for job
26,rajesh dhingra,2016-08-04,useless what nonsense   i be unable to join   to  slow service though 3g internet  
27,ghanshyam mundhada,2016-08-04,try to access 
28,william harkrider,2016-08-04,world s biggest survaillance system  first command seagoville texas 75159
29,naveen bullet,2016-08-04,useful
30,eduardo e sierra,2016-08-04,the work well the only setback be the notifications  i should be able to get all of them include the one from the desktop version 
31,yemisi omokowajo,2016-08-04,good
32,anurag paul dani,2016-08-04,like it
33,shan mugam,2016-08-04,sham
34,zaman wahid jisan,2016-08-04,great
35,matt sharp,2016-08-04,should be better  hopefully microsoft can resuscitate the platform  there s room in the market for a business networking service that can actually clear message notification month with a ghost message in my inbox provide greater identity verification and deliver actual insight in article and conversation as oppose the dogmatic redundant pablum that currently populate my feed 
36,sylvanna rivas,2016-08-04,social
37,langels sing praise,2016-08-04,convenient
38,   j vicky,2016-08-04,just love it
39,faheem aryan khan,2016-08-04,sooooo nice
40,patricia gonzales,2016-08-04,i m thrill to be connectingreconnect with new and old friends!
41,lew carvalho,2016-08-04,what s the point?
