,tweet,Date,Class
0,microsoft acquire,2016-06-17,
1,technical support specialist,2016-06-17,2.0
2, tutorial  syncing your calendar and the  by,2016-06-17,1.0
3,microsoft acquire,2016-06-17,
4,microsoft acquire,2016-06-17,
5,student launchesin canada for recent graduate,2016-06-17,
6,rainmaker rewind microsoft just buy   here everything you need to know,2016-06-17,
7,how to maximize your time on social media  editionvia,2016-06-17,
8,how to maximize your time on social media  editionvia,2016-06-17,
9,how to maximize your time on social media  editionvia divahound,2016-06-17,
10,how to maximize your time on social media  editionvia divahound,2016-06-17,
11,microsoft acquire,2016-06-17,
12,dont use the mobile without know these tip,2016-06-17,
13,dr  gridlock fatal crash closes part of randolph road in silver spring  on,2016-06-17,
14,tweeting from your cot,2016-06-17,
15,tutorials  in the news  facebook for professionals and businesses,2016-06-17,
16,don t use the mobile without know these tip,2016-06-17,
17,we be work on a new for aperture users  would love to make sure we be meet your need,2016-06-17,
18,new post microsoft acquire,2016-06-17,
19,salesforce also make a bid for,2016-06-17,
20,dont use the mobile without know these tip,2016-06-17,
21,5 way to use publisher for businessvia,2016-06-17,
22,direct selling news,2016-06-17,
23,why you should forget about via,2016-06-17,
24,new to the mobile ? here s what you must know!  ks,2016-06-17,
25,3 way to leverage pulse for thought leadership in your industry,2016-06-17,
26,why you should forget about via jeffbulla,2016-06-17,
27,why you should forget about via jeffbulla,2016-06-17,
28,the post era be here to bring paradign shift in the way we interact with s  be you ready?,2016-06-17,
29,be look for content marketing evangelist  learn more or let me know if you have any q,2016-06-17,
30,mobile what marketer need to knowvia,2016-06-17,
31,thank for sharing,2016-06-17,
32,7 hacks to soar your marketing roi  by on,2016-06-17,
33,if you re build an for the industry,2016-06-18,
34,phd position at can a smartphone promote therapeutic interaction with the natural environment?,2016-06-18,
35,saw people i actually know on the  people you may know  section of the   this microsoft acquisition is already paying off ,2016-06-18,
36,new revenue stream for with ads in the store  by on,2016-06-18,
37,sometimes life,2016-06-18,
38,will change after microsoft purchase?,2016-06-18,
39,dont use the mobile without know these tip,2016-06-18,
40,will change after microsoft purchase?,2016-06-18,
41,5 way to use publisher for business via,2016-06-18,
42,build my own ?!,2016-06-18,
43,sometimes life,2016-06-18,
44,pro tip from the you can send congratulation to your contact that have work anniversary wi,2016-06-18,
45,if you re build an for the industry,2016-06-18,
46,punch the trump  is a more popular on google play than both and youtube ,2016-06-18,
47,user value result more than experiences ,2016-06-18,
48,microsoft buy and suddenly the will not open and crashes  hmmmmm,2016-06-18,
49, tutorial  syncing your calendar and the  by,2016-06-18,1.0
50,try out the ! find your dream job,2016-06-18,
51,after  26b  purchase,2016-06-18,
52,top informativo   dont use the mobile without knowing these tips  recently re vamped t,2016-06-18,1.0
53,admin,2016-06-18,
54,the  just found its way back on my phone somehow  phones broke ,2016-06-18,
55,don t use the mobile without know these tip zaibatsu,2016-06-18,
56,don t use the mobile without know these tip zaibatsu,2016-06-18,
57,have potential to be a quality date 4 career drive single w  ,2016-06-18,
58,an ultimate guide to challenge in develop a,2016-06-18,
59,an ultimate guide to challenge in develop a,2016-06-18,
60,as gain maturity store will replace store,2016-06-18,
61,dont use the mobile without know these tip,2016-06-18,
62,as gain maturity store will replace store,2016-06-18,
63,get the    signup using your number to get free 3mos premium service!,2016-06-18,
64,get the    signup using your number to get free 3mos premium service!,2016-06-18,
65,dont use the without know these tip via,2016-06-18,
66,like but for landscape architect,2016-06-18,
67,dont use the without know these tip via,2016-06-18,
68,invest big in new search engine tech,2016-06-18,
69,student launch mobile in canada for recent graduate via,2016-06-18,
70,24 awesome facebook,2016-06-18,
71,be look for senior data scientist,2016-06-18,
72,be strictly for business but you see,2016-06-18,
73,admin,2016-06-18,
74,the ultimate cheat sheet  infographic  via,2016-06-18,
75,official who zika  by,2016-06-18,
76,want to know how you edit and post a great photo on the phone ?,2016-06-18,
77,ocalypse microsoft acquire for  26 billionvia,2016-06-18,
78,should i also publish blog post on ?,2016-06-18,
79,dont use the mobile without know these tip,2016-06-18,
80,be look for smb account executive,2016-06-18,
81,infamously mentioneda a feature,2016-06-18,
82,i think i must be crazy! workshop give away,2016-06-18,
83,should i also publish blog post on ?,2016-06-18,
84,how to optimize your company pagevia,2016-06-18,
85,congratulations for buying out   maybe now your  will work properly on my phone?,2016-06-18,
86,the  has a draggable tab bar  _ _,2016-06-18,
87,rainmaker rewind microsoft just buy   here everything you need to know,2016-06-18,
88,thank stevenhutt how to optimize your company pagevia oktopost  ,2016-06-18,
89,  for more download our on,2016-06-18,
90,events solidworks 2013 version launch  simtek,2016-06-18,
91,slideshare and  how to use the two platforms to grow your business,2016-06-18,
92,imagine all the invite wait for   update too  that s his first month take care of ,2016-06-18,
93,imagine all the invite wait for   update too  that s his first month take care of ,2016-06-18,
94,indegene looks to integrate its fair pay into performance management reviews  the economic times,2016-06-18,
95,set up more prospect meetings with the new  via,2016-06-18,
96,to launch date for gold diggers ,2016-06-18,
97,advantage of mobile for your business by goldenmace it solution,2016-06-18,
98,i just activated my subscription to marketing solutions blog  subscribe now,2016-06-18,
99,10 benefits of creating mobile for grocery stores  smarther technologies,2016-06-18,
100,dont use the mobile without know these tip    ,2016-06-18,
101,how to find a job on  employer outreach strategy,2016-06-18,
102,this week in content marketing will microsoft   spur a content buying spree?,2016-06-18,
103,this week in content marketing will microsoft   spur a content buying spree?htt,2016-06-18,
104,5 tip for create shareable post by,2016-06-18,
105,you know you be on to something when your own become part of your social medium flow     ,2016-06-18,
106,dont use the mobile without know these tip via,2016-06-18,
107,case study,2016-06-18,
108,official twitter,2016-06-18,
109,this week in content marketing will microsoft   spur a content buying spree?,2016-06-18,
110,be look for senior market research manager,2016-06-18,
111,this week in content marketing will microsoft   spur a content buying spree? via,2016-06-18,
112,be you get the right result from inmail?vium,2016-06-18,1.0
113,be you get the right result from inmail?vium,2016-06-18,1.0
114,too many question for you to handle about ? get 5 tip on how to make work for you ,2016-06-18,
115,bill gates calls microsoft s  26 billion buy a great transaction  msft,2016-06-18,
116,dont use the mobile without know these tip,2016-06-18,
117,dont use the mobile without know these tip by,2016-06-18,
118,dont use the mobile without know these tip by,2016-06-18,
119,socialmedia2day  dont use the mobile without knowing these tips by meloni,2016-06-18,
120,socialmedia2day dont use the mobile without know these tip by meloniedodaro,2016-06-18,
121,dont use the mobile without know these tip by meloniedodaro,2016-06-18,
122,dont use the mobile without know these tip by,2016-06-18,
123,socialmedia2day  dont use the mobile without knowing these tips by meloniedodaro,2016-06-18,
124,now have student ! start build your network while you learn,2016-06-18,
125,dont use the mobile without know these tip by mel,2016-06-18,
126,dont use the mobile without know these tip by meloniedodaro,2016-06-18,
127,dont use the mobile without know these tip,2016-06-18,
128,dont use the mobile without knowing these tips  by,2016-06-18,
129,dont use the mobile without know these tip via,2016-06-18,
130,dont use the mobile without know these tip by meloniedodaro,2016-06-18,
131,dont use the mobile without knowing these tips  by,2016-06-18,
132,free building regulations  by on,2016-06-18,
133,how to measure your activity via,2016-06-18,
134,how to measure your activity via,2016-06-18,
135,how to measure your activity via smexaminer,2016-06-18,
136,this may be the moment we finally do enter the garage band era of game and design  thing may get more crude,2016-06-18,
137,how to measure your activity via smexaminer,2016-06-18,
138,pls help us helpu create place ppl love!nee input on r econ,2016-06-18,
139,site like and prompt you to go from mobile web into an,2016-06-18,
140,don t use the mobile without know these tip,2016-06-18,
141,the best   worst time to post on facebook,2016-06-18,
142,check out the latest news,2016-06-18,
143,faq,2016-06-18,
144,please read thistwitter invests  70m in soundcloud  shares keep rallying after microsoft deal  twitter,2016-06-18,
145,social sign in  sign in a 3rd party using twitter,2016-06-18,
146,it should be possible to unfollow post you comment on within the iphone   also not always possible on the site ,2016-06-18,
147,this week in content marketing will microsoft   spur a content buying spree?,2016-06-18,
148,this week in content marketing will microsoft   spur a content buying spree?vi,2016-06-18,
