,09-Aug,08-Aug,07-Aug,06-Aug,05-Aug,04-Aug,03-Aug,02-Aug,01-Aug,31-Jul,30-Jul,29-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,23-Jul,22-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,16-Jul,15-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,09-Jul,08-Jul,07-Jul,06-Jul,05-Jul,04-Jul,03-Jul,02-Jul,01-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,25-Jun,24-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,18-Jun
mobilestrike,10,12,20,13,8,13,11,11,13,7,8,8,10,9,11,8,12,7,7,8,11,10,10,9,14,14,12,12,8,12,8,8,0,0,0,8,13,17,13,14,6,11,10,16,14,11,13,9,11,15,15,17,11
clashofclans,9,6,8,8,8,9,10,15,7,7,12,7,7,11,10,8,7,7,9,7,6,12,7,12,8,11,12,16,12,20,17,8,0,0,0,14,15,10,13,14,12,17,19,24,16,14,11,15,27,36,19,20,13
gameofwar,11,5,12,9,37,7,12,3,6,5,4,4,2,9,9,4,2,2,3,3,4,4,7,10,19,7,22,13,4,5,4,2,0,0,0,13,4,5,7,5,82,6,13,19,4,6,5,30,17,14,29,14,18
clashroyale,16,13,9,6,6,4,7,7,6,7,7,4,7,8,7,6,6,6,8,6,9,9,7,14,14,7,11,39,15,15,12,9,0,0,0,16,16,11,12,15,11,13,11,15,6,8,7,13,15,7,7,9,18
candycrushsaga,21,16,14,8,10,8,8,22,44,38,32,49,33,34,18,15,12,8,29,11,28,13,33,26,12,7,18,28,33,36,33,7,0,0,0,14,17,21,20,13,17,14,13,12,11,13,14,13,14,19,13,28,18
summonerswar,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,2,2,1,1,2,3,2,2,2,1,1,2,1,1,1,0,0
slotomania,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,0,0,0,0,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,0,1,0,1
puzzle&dragons,0,1,0,0,4,0,2,0,3,0,1,1,2,2,1,0,0,1,0,0,1,2,0,1,0,0,1,1,1,0,0,2,0,0,0,0,1,2,3,1,0,3,0,1,2,1,1,0,0,0,4,2,1
starwars,66,43,53,38,80,41,41,48,55,34,47,45,42,50,83,66,50,45,65,43,43,63,59,59,66,76,63,99,84,39,33,28,0,0,8,73,76,64,81,107,150,162,131,53,30,31,48,54,62,36,73,67,69
candycrushsodasaga,15,9,3,3,4,3,4,16,39,33,23,39,28,27,12,6,5,3,21,4,21,8,25,18,3,2,10,19,27,29,26,1,0,0,0,4,8,13,12,4,6,4,2,3,4,5,4,4,4,5,4,18,10
marvelcontestofchampions,1,0,0,0,0,0,0,6,2,0,3,0,1,5,6,33,0,0,0,0,1,0,0,0,0,1,1,1,11,2,1,0,0,0,0,5,0,0,1,1,0,0,1,0,0,2,0,11,6,0,0,3,0
clashofkings,0,0,0,0,1,0,1,4,0,4,0,1,0,3,0,1,0,4,1,1,1,1,2,2,2,6,1,2,2,2,2,1,0,0,0,0,0,1,0,1,1,3,0,0,1,0,1,1,2,4,0,1,3
boombeach,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,1,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,1,1,0,1,1
vikings,37,53,45,34,83,82,70,64,62,43,56,71,55,47,42,48,12,29,267,51,30,31,36,6,11,39,29,33,66,37,6,8,0,0,2,34,14,9,26,164,29,30,49,34,14,17,35,36,29,29,21,16,12
castleclash,1,1,1,2,3,4,4,4,3,2,3,6,2,2,2,1,1,1,1,1,3,4,2,3,3,2,2,3,2,0,0,0,0,0,0,1,1,1,2,3,1,2,2,3,2,4,2,1,1,2,0,1,1
thesimpsons,1,4,4,5,0,1,2,2,8,3,2,2,8,6,4,4,2,0,7,4,5,4,9,10,17,14,5,5,5,6,2,2,0,0,0,1,0,1,0,4,6,5,2,1,6,5,3,2,2,3,1,1,3
hearthstoneheroesofwarcraft,2,0,1,2,1,1,1,1,2,1,0,0,2,1,2,0,1,2,0,2,2,1,5,2,0,4,6,1,0,0,0,1,0,0,0,1,2,1,0,2,1,1,1,0,1,1,0,1,0,0,0,0,1
