,Aug 09,Aug 08,Aug 07,Aug 06,Aug 05,Aug 04,Aug 03,Aug 02,Aug 01,Jul 31,Jul 30,Jul 29,Jul 28,Jul 27,Jul 26,Jul 25,Jul 24,Jul 23,Jul 22,Jul 21,Jul 20,Jul 19,Jul 18,Jul 17,Jul 16,Jul 15,Jul 14,Jul 13,Jul 12,Jul 11,Jul 10,Jul 09,Jul 08,Jul 07,Jul 06,Jul 05,Jul 04,Jul 03,Jul 02,Jul 01,Jun 30,Jun 29,Jun 28,Jun 27,Jun 26,Jun 25,Jun 24,Jun 23,Jun 22,Jun 21,Jun 20,Jun 19,Jun 18
minecraft,65,82,92,73,119,90,95,146,95,72,112,98,89,68,99,117,92,124,102,100,98,100,93,81,90,117,98,118,91,125,75,0,0,0,25,112,135,159,93,89,89,97,102,111,96,139,129,94,105,121,123,80,169
herolegendhd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloonstd5,12,13,12,11,13,9,11,13,14,11,9,12,11,7,10,11,7,7,9,9,8,6,9,7,11,11,8,13,11,11,11,7,0,0,0,8,9,12,11,9,12,8,11,10,10,13,15,14,16,15,12,7,7
geometrydash,19,19,21,20,20,24,20,18,20,18,17,17,23,15,17,14,11,12,14,14,14,13,16,14,13,18,15,16,20,18,16,8,0,0,0,16,14,38,21,19,18,15,18,20,20,20,29,19,22,18,15,28,20
terraria.,0,2,3,2,2,1,4,1,4,4,1,3,3,4,1,11,2,0,3,6,4,7,1,4,4,1,5,6,2,7,2,3,0,0,0,3,5,6,3,4,5,0,3,3,5,4,5,5,5,3,4,8,4
lifeline,6,5,6,3,13,7,8,1,1,7,6,2,5,3,3,4,1,4,5,4,4,1,6,3,2,5,6,2,2,7,2,0,0,0,3,6,12,15,21,43,10,9,6,7,4,2,4,7,2,4,7,4,9
thegameoflife,10,6,5,8,7,7,7,8,8,5,10,12,22,9,4,6,7,9,7,9,10,12,13,9,16,16,15,20,24,29,52,26,0,0,0,4,7,8,10,11,18,15,14,11,11,10,7,10,9,13,9,4,5
trueskate,6,7,8,8,11,10,12,8,14,11,13,9,14,10,9,6,7,7,10,10,8,8,9,9,8,5,7,13,9,12,10,6,0,0,0,7,5,4,7,28,83,8,8,8,9,9,8,6,10,8,10,9,9
scribblenautsremix,1,2,4,3,2,3,6,4,5,3,5,8,6,7,7,5,6,5,7,10,10,9,11,10,9,8,4,4,2,6,2,3,0,0,0,7,6,7,6,4,3,2,3,4,4,4,2,4,2,4,2,3,3
fivenightsatfreddys,10,11,10,13,13,13,11,11,9,12,10,14,16,13,13,10,11,14,13,13,13,13,15,15,17,9,8,17,14,17,19,26,0,0,0,15,11,17,15,17,15,16,13,12,15,13,16,12,13,13,15,18,11
skater,2,2,4,3,3,5,3,5,4,2,2,3,7,1,4,0,4,1,4,4,2,4,5,2,4,2,8,3,4,6,3,3,0,0,0,1,2,1,6,4,1,5,1,2,4,6,0,3,2,3,3,6,0
fivenightsatfreddys2,10,11,10,13,12,12,11,11,9,10,10,13,15,13,13,10,11,14,13,12,13,13,14,14,16,9,8,17,13,14,17,13,0,0,0,13,11,16,15,13,14,14,13,12,15,13,16,12,13,13,14,17,10
explodingkittens,0,1,0,7,3,1,0,0,2,1,1,0,3,1,0,0,3,3,3,3,0,0,1,1,0,1,1,3,2,0,2,1,0,0,0,0,1,1,2,1,0,0,0,0,2,0,2,1,0,7,2,5,5
theroomthree,2,4,7,3,3,3,6,3,4,3,2,3,3,4,7,5,3,2,3,3,5,5,2,2,3,4,4,7,4,4,5,3,0,0,0,5,5,5,4,7,2,4,4,6,2,5,2,4,4,4,4,5,5
cardwars,0,1,4,4,4,6,3,8,4,4,1,4,3,8,11,6,11,13,15,16,9,13,15,62,8,47,16,7,5,3,3,3,0,0,0,5,3,9,1,4,2,5,2,7,1,1,1,1,5,2,1,2,2
